,Unnamed: 0,Star_name,Distance,Mass,Radius,Unnamed: 6
281,44.0,2MASP J0345432+254023,88,74,1.05,
282,,,,,,
283,45.0,Teide 1,380,55,3.78,
284,,,,,,
285,46.0,2MASS J03510004-0052452,48,102,1.27,
286,,,,,,
287,47.0,2MASS J03552337+1133437,29.8,20,1.32,
288,,,,,,
289,48.0,DENIS-P J035726.9-441730 [de],130,,,
290,,,,,,
291,49.0,2MASS J04151954−0935066,18.6,30,0.95,
292,,,,,,
293,50.0,SDSSp J042348.57-041403.5 [de],50,,,
294,,,,,,
295,51.0,2MASS J04285096-2253227 [de],85,80,1.09,
296,,,,,,
297,52.0,2MASS J04351612-1606574,34,100,1.26,
298,,,,,,
299,53.0,2MASS J04362788-4114465,142,39,1.97,
300,,,,,,
301,54.0,2MASS J04390101-2353083 [de],29.5,48,0.97,
302,,,,,,
303,55.0,2MASS J04414489+2301513,470,19,,
304,,,,,,
305,56.0,2MASS J04433764+0002040,82,22,1.78,
306,,,,,,
307,57.0,2MASS J04455387-3048204 [de],42,64,1,
308,,,,,,
309,58.0,2MASS J04510093-3402150 [de],69,1.04,72,
310,,,,,,
311,59.0,2MASS J05002100+0330501 [de],44,64,1,
312,,,,,,
313,60.0,2MASS J05012406-0010452 [de],64,21,1.38,
314,,,,,,
315,61.0,2MASS J05160945-0445499 [de],73,47,0.97,
316,,,,,,
317,62.0,2MASS J0523−1403,40,68,1.01,
318,,,,,,
319,63.0,2MASS 0532+8246,81,83,,
320,,,,,,
321,64.0,SDSS J053951.99-005902.0,41.62,61,1.01,
322,,,,,,
323,65.0,2MASS J05591914-1404488 [de],34,,,
324,,,,,,
325,66.0,LSR 0602+3910 [de],34.6,28,1.41,
326,,,,,,
327,67.0,2MASS J06085283-2753583,102,38,1.51,
328,,,,,,
329,68.0,WISEP J061135.13-041024.0A,69,65,,
330,,,,,,
331,69.0,WISEP J061135.13-041024.0B,69,53,,
332,,,,,,
333,70.0,2MASS J06244595-4521548 [de],39,56,0.99,
334,,,,,,
335,71.0,2MASS J06411840-4322329 [de],65,67,1.01,
336,,,,,,
337,72.0,DENIS-P J0652197-253450 [de],51,75,1.05,
338,,,,,,
339,73.0,2MASS J07003664+3157266 [de],40,,,
340,,,,,,
341,74.0,2MASS J07075327-4900503,60,72,1.03,
342,,,,,,
343,75.0,UGPS J072227.51-054031.2,13.4,26,0.98,
344,,,,,,
345,76.0,2MASSI J0727182+171001 [de],29.6,41,0.94,
346,,,,,,
347,77.0,2MASS J07290002-3954043 [de],25.8,37,0.94,
348,,,,,,
349,78.0,SDSS J074201.41+205520.5 [de],49,43,0.94,
350,,,,,,
351,79.0,2MASS J0746425+200032 [fr],49.6,,,
352,,,,,,
353,80.0,DENIS-P J0751164-253043 [de],55,71,1.03,
354,,,,,,
355,81.0,2MASS J07522390+1612157,60,2.01,68,
356,,,,,,
357,82.0,DENIS J081730.0-615520,16.1,44,0.94,
358,,,,,,
359,83.0,DENIS J082303.1−491201A,67,44,,
360,,,,,,
361,84.0,DENIS J082303.1−491201B,67,28,,
362,,,,,,
363,85.0,2MASS J08251968+2115521 [de],35,52,0.98,
364,,,,,,
365,86.0,SDSSp J083008.12+482847.4 [de],43,48,0.99,
366,,,,,,
367,87.0,LHS 2021,55,88,1.15,
368,,,,,,
369,88.0,SDSS J083048.80+012831.1 [de],77,46,0.96,
370,,,,,,
371,89.0,2MASSI J0835425-081923 [de],23.53,62,1,
372,,,,,,
373,90.0,2MASSI J0847287-153237 [de],43,64,1,
374,,,,,,
375,91.0,2MASS J08533619-0329321,27.6,77,1.07,
376,,,,,,
377,92.0,2MASSI J0859254-194926 [de],50,50,0.98,
378,,,,,,
379,93.0,2MASSW J0920122+351742 [de],95,,,
380,,,,,,
381,94.0,2MASSI J0937347+293142,20,42,0.94,
382,,,,,,
383,95.0,2MASS 0939−2448,17.4,32,0.95,
384,,,,,,
385,96.0,2MASS J09490860-1545485 [de],59,49,0.96,
386,,,,,,
387,97.0,2MASS J10073369-4555147,46,44,0.94,
388,,,,,,
389,98.0,2MASSI J1010148-040649 [de],55,51,0.98,
390,,,,,,
391,99.0,2MASSI J1017075+130839 [de],108,,,
392,,,,,,
393,100.0,SDSS J102109.69-030420.1,95,,,
394,,,,,,
395,101.0,2MASS J10224821+5825453 [de],60,27,1.41,
396,,,,,,
397,102.0,2MASSW J1036530-344138 [de],53,49,0.97,
398,,,,,,
399,103.0,2MASS J1047538+212423 [de],34.4,42,0.94,
400,,,,,,
401,104.0,DEN 1048-3956,13.15,77,1.07,
402,,,,,,
403,105.0,Luhman 16B,6.516,43,1.02,
404,,,,,,
405,106.0,Luhman 16A,6.516,40,1.01,
406,,,,,,
407,107.0,DENIS-P J1058.7−1548,49,64,1,
408,,,,,,
409,108.0,TWA 28,180,36,2.39,
410,,,,,,
411,109.0,Cha 110913-773444,163,8,1.8,
412,,,,,,
413,110.0,OTS 44,554,15,,
414,,,,,,
415,111.0,SDSS J111010.01+011613.1,63,9,1.24,
416,,,,,,
417,112.0,2MASS J11145133−2618235,18.2,33,0.96,
418,,,,,,
419,113.0,TWA 26,137,30,2.2,
420,,,,,,
421,114.0,2MASSW J1146345+223053,89,,,
422,,,,,,
423,115.0,2MASS J11544223-3400390 [de],129,37,1.5,
424,,,,,,
425,116.0,2MASSW J1155395-372735 [de],31,64,1,
426,,,,,,
427,117.0,TWA 27A,,,,
428,,,,,,
429,118.0,TWA 27,,,,
430,,,,,,
431,119.0,2MASS J12074836-3900043,217,17,1.71,
432,,,,,,
433,120.0,2MASSI J1217110-031113 [de],36,42,0.94,
434,,,,,,
435,121.0,2MASS J12255432-2739466,43,,,
436,,,,,,
437,122.0,DENIS-P J1228.2-1547,66,,,
438,,,,,,
439,123.0,2M 1237+6526,45.6,41,0.94,
440,,,,,,
441,124.0,2MASSW J1239272+551537 [de],119,,,
442,,,,,,
443,125.0,TWA 29,262,2,25,
444,,,,,,
445,126.0,SDSSp J125453.90-012247.4 [de],38,47,0.98,
446,,,,,,
447,127.0,Kelu-1A,61,63,0.98,
448,,,,,,
449,128.0,Kelu-1B,61,58,0.98,
450,,,,,,
451,129.0,2MASS J13204427+0409045,101,67,1.01,
452,,,,,,
453,130.0,SDSSp J132629.82-003831.5 [de],65,51,0.97,
454,,,,,,
455,131.0,SDSSp J134646.45-003150.4 [de],48,44,0.94,
456,,,,,,
457,132.0,2MASS J13595510-4034582,51,63,1,
458,,,,,,
459,133.0,ULAS J141623.94+134836.3,29.7,32,0.96,
460,,,,,,
461,134.0,SDSS J141659.78+500626.4 [de],149,59,0.99,
462,,,,,,
463,135.0,DENIS-P J142527.97-365023.4 [de],38,21,1.32,
464,,,,,,
465,136.0,LHS 2924,38.5,76,1.06,
466,,,,,,
467,137.0,2MASS J14392837+1929150,47,72,1.03,
468,,,,,,
469,138.0,LSPM J1440+1339,72,92,1.19,
470,,,,,,
471,139.0,2MASS J14482563+1031590 [de],47,59,0.99,
472,,,,,,
473,140.0,CFBDSIR 1458+10A,104,11.1,1.5,
474,,,,,,
475,141.0,CFBDSIR 1458+10B,104,9,1.3,
476,,,,,,
477,142.0,TVLM 513-46546,35.1,75,1.05,
478,,,,,,
479,143.0,2MASS 1503+2525,20.7,44,0.94,
480,,,,,,
481,144.0,CFBDS J150411+102717,71,44,0.94,
482,,,,,,
483,145.0,2MASSW J1506544+132106 [de],46,69,1.02,
484,,,,,,
485,146.0,2MASS 1507−1627,23.9,60,0.99,
486,,,,,,
487,147.0,TVLM 868-110639,53,79,1.08,
488,,,,,,
